Respondent_ID,Q1_Age_Group,Q2_Marital_Dependent_Status,Q3_City_Tier,Q4_Financial_Dependents,Q5_Employment_Status,Q6_Monthly_Income,Q7_Income_Stability,Q8_Monthly_Expenditure,Q9_Top_Spending_Categories,Q10_Impulse_Purchase_Frequency,Q11_Spending_Triggers,Q12_Active_Subscriptions,Q13_Statement_Review_Frequency,Q14_Financial_Goals,Q15_Savings_Percentage,Q16_Financial_Challenges,Q17_Financial_Confidence,Q18_Financial_Stress_Level,Q19_Budget_Behavior,Q20_Finance_App_Usage,Q21_Financial_Literacy,Q22_Digital_Comfort_Level,Q23_Preferred_Features,Q24_Willingness_To_Pay,Q25_BudgetLife_Interest,Persona_Tag
R0046,55+,"Married, no children",Metro (Tier 1),1,Self-employed,"₹1,00,001–₹2,00,000",Irregular but manageable,"₹50,001–₹1,00,000","Entertainment & Dining Out|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Often (6+ times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",3–5,Never,Save for Vacation,1–10%,High Cost of Living|Overspending,2 – Slightly confident,3 – Sometimes,"No, and I don't plan to","No, never used one",3 – Average,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Definitely No,High-Income Low-Awareness Spender
R0047,18–24,"Single, no dependents",Tier 2,1,Student,"₹20,001–₹50,000",Irregular but manageable,"Below ₹10,000","Education|Groceries & Food|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),Social media influence|Social pressure or peer influence,None,Rarely,No Specific Goal,1–10%,High Cost of Living|No Budgeting Discipline,3 – Moderately confident,3 – Sometimes,"No, and I don't plan to","No, never used one",3 – Average,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹0 (Free only),Maybe,College Student / Early Career
R0048,35–44,"Married, with children",Metro (Tier 1),1,Self-employed,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹50,001–₹1,00,000",Education|Groceries & Food|Healthcare,Often (6+ times/month),Emotional stress or boredom,3–5,Quarterly,Children's Education,21–30%,High Cost of Living,5 – Extremely confident,4 – Often,"Yes, loosely","No, never used one",4 – High,Somewhat comfortable,Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Probably No,Middle-Income Family Provider
R0049,45–54,"Married, with children",Tier 3,4+,Self-employed,"₹20,001–₹50,000",Highly unpredictable,"₹10,001–₹25,000",Education,Rarely (1–2 times/month),Celebrations or festivals,3–5,Rarely,"Save for Major Purchase (Home, Car)",1–10%,Lack of Financial Knowledge|Low or Irregular Income,4 – Very confident,3 – Sometimes,"Yes, loosely","No, never used one",3 – Average,Neutral,Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Probably Yes,Small Town Conservative Saver
R0050,18–24,"Married, no children",Metro (Tier 1),0,Salaried (Government),"₹1,00,001–₹2,00,000",Very stable (fixed salary),"Above ₹1,00,000",Entertainment & Dining Out|Healthcare|Rent & Housing,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Social media influence",3–5,Monthly,Invest & Grow Wealth,11–20%,High Cost of Living|Low or Irregular Income,4 – Very confident,4 – Often,"No, but I want to","No, never used one",4 – High,Neutral,Subscription & Money Leak Detection,₹49–₹99,Probably Yes,Young Urban Professional
R0051,25–34,"Single, no dependents",Tier 3,0,Salaried (Private),"₹1,00,001–₹2,00,000",Mostly stable with some variation,"₹25,001–₹50,000",Groceries & Food|Healthcare|Transportation,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)",6+,Monthly,"Build Emergency Fund|Save for Major Purchase (Home, Car)",Above 30%,No Budgeting Discipline,2 – Slightly confident,4 – Often,"No, but I want to","Yes, currently using one",4 – High,Very comfortable,Financial Health Score with Peer Benchmarking,₹200–₹499,Probably Yes,Aspiring Digital-First Millennial
R0052,18–24,"Married, with children",Metro (Tier 1),3,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Irregular but manageable,"₹10,001–₹25,000",Healthcare,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",1–2,Never,Build Emergency Fund,21–30%,Low or Irregular Income|Unexpected Expenses,3 – Moderately confident,3 – Sometimes,"No, but I want to","Yes, currently using one",4 – High,Neutral,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization,₹200–₹499,Definitely Yes,Gig Worker / Irregular Income
R0053,35–44,"Married, no children",Metro (Tier 1),0,Self-employed,"₹1,00,001–₹2,00,000",Irregular but manageable,"₹25,001–₹50,000",EMIs & Loan Repayments|Groceries & Food,Rarely (1–2 times/month),"Flash sales, discounts & offers|Social media influence",3–5,Weekly,Build Emergency Fund|Invest & Grow Wealth,1–10%,High EMIs or Debt|Overspending,4 – Very confident,2 – Rarely,"Yes, loosely",Used before but stopped,3 – Average,Very comfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Subscription & Money Leak Detection,₹49–₹99,Definitely Yes,Aspiring Digital-First Millennial
R0054,55+,"Married, with children",Rural,3,Retired,"₹20,001–₹50,000",Very stable (fixed salary),"₹10,001–₹25,000",Groceries & Food|Healthcare|Shopping & Fashion,Rarely (1–2 times/month),I rarely spend impulsively,None,Quarterly,Retirement Planning,11–20%,Unexpected Expenses,4 – Very confident,3 – Sometimes,"Yes, strictly","No, never used one",2 – Low,Somewhat uncomfortable,AI Savings Recommendations & Goal Engine,₹0 (Free only),Definitely No,Retired / Senior Citizen
R0055,45–54,Joint family (supporting elders),Tier 2,3,Self-employed,"₹20,001–₹50,000",Irregular but manageable,"₹10,001–₹25,000",Shopping & Fashion,Rarely (1–2 times/month),Emotional stress or boredom,None,Rarely,Build Emergency Fund,21–30%,Low or Irregular Income|Unexpected Expenses,1 – Not confident at all,2 – Rarely,"No, and I don't plan to","No, never used one",3 – Average,Very uncomfortable,AI Savings Recommendations & Goal Engine,₹49–₹99,Probably No,Small Town Conservative Saver
R0056,35–44,"Married, no children",Tier 2,4+,Salaried (Private),"₹20,001–₹50,000",Irregular but manageable,"₹25,001–₹50,000",Shopping & Fashion,Rarely (1–2 times/month),"Flash sales, discounts & offers|Social media influence",1–2,Weekly,Build Emergency Fund|Retirement Planning|Save for Vacation,21–30%,High EMIs or Debt|Low or Irregular Income,3 – Moderately confident,3 – Sometimes,"No, but I want to",Used before but stopped,2 – Low,Neutral,Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Maybe,Aspiring Digital-First Millennial
R0057,25–34,"Married, no children",Tier 3,2,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000",Groceries & Food|Other|Shopping & Fashion,Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)",6+,Never,Build Emergency Fund|Invest & Grow Wealth,1–10%,Unexpected Expenses,5 – Extremely confident,2 – Rarely,"Yes, strictly","Yes, currently using one",5 – Very High,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹0 (Free only),Probably Yes,Young Urban Professional
R0058,25–34,"Single, no dependents",Tier 2,0,Salaried (Private),"₹50,001–₹1,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000",EMIs & Loan Repayments|Groceries & Food|Rent & Housing,Rarely (1–2 times/month),Emotional stress or boredom|Social media influence,3–5,Weekly,"Pay Off Debt|Save for Major Purchase (Home, Car)|Save for Vacation",0% (No savings),No Budgeting Discipline,3 – Moderately confident,3 – Sometimes,"Yes, loosely",Used before but stopped,3 – Average,Very comfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹49–₹99,Definitely No,Young Urban Professional
R0059,25–34,"Single, no dependents",Metro (Tier 1),0,Salaried (Private),"₹1,00,001–₹2,00,000",Irregular but manageable,"₹50,001–₹1,00,000",Entertainment & Dining Out|Groceries & Food|Rent & Housing,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)|Flash sales, discounts & offers",3–5,Monthly,"Invest & Grow Wealth|Save for Major Purchase (Home, Car)",1–10%,No Budgeting Discipline,4 – Very confident,1 – Never,"Yes, loosely",Used before but stopped,5 – Very High,Neutral,Subscription & Money Leak Detection,₹49–₹99,Probably No,Young Urban Professional
R0060,18–24,"Single, no dependents",Tier 3,0,Student,"₹20,001–₹50,000",Irregular but manageable,"Below ₹10,000",Groceries & Food|Shopping & Fashion|Transportation,Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social pressure or peer influence",None,Quarterly,No Specific Goal,1–10%,Low or Irregular Income|No Budgeting Discipline,3 – Moderately confident,2 – Rarely,"No, but I want to","No, never used one",2 – Low,Very comfortable,Subscription & Money Leak Detection,₹0 (Free only),Probably No,College Student / Early Career
R0061,25–34,"Single, with dependents",Metro (Tier 1),3,Self-employed,"₹1,00,001–₹2,00,000",Mostly stable with some variation,"₹50,001–₹1,00,000",Education|Healthcare|Rent & Housing,Often (6+ times/month),"Flash sales, discounts & offers",1–2,Monthly,Build Emergency Fund|Children's Education|Invest & Grow Wealth,Above 30%,High Cost of Living,3 – Moderately confident,5 – Almost always,"No, and I don't plan to","No, never used one",4 – High,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking|Predictive Budget Alerts & Spending Forecasts,₹100–₹199,Probably Yes,Middle-Income Family Provider
R0062,18–24,"Single, no dependents",Rural,0,Freelancer or Gig Worker,"Above ₹2,00,000",Highly unpredictable,"₹10,001–₹25,000","Education|Groceries & Food|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),Celebrations or festivals|Social media influence,3–5,Rarely,"Retirement Planning|Save for Major Purchase (Home, Car)",11–20%,Low or Irregular Income|No Budgeting Discipline,4 – Very confident,4 – Often,"No, but I want to","No, never used one",2 – Low,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization,₹49–₹99,Definitely Yes,College Student / Early Career
R0063,18–24,"Single, no dependents",Rural,0,Salaried (Private),"₹50,001–₹1,00,000",Irregular but manageable,"₹10,001–₹25,000",Entertainment & Dining Out|Groceries & Food,Often (6+ times/month),"Flash sales, discounts & offers|Social pressure or peer influence",1–2,Never,Build Emergency Fund|Save for Vacation,1–10%,Unexpected Expenses,3 – Moderately confident,3 – Sometimes,"No, but I want to","No, never used one",2 – Low,Neutral,Automatic Expense Tracking & Smart Categorization,₹49–₹99,Definitely Yes,Gig Worker / Irregular Income
R0064,35–44,"Married, with children",Metro (Tier 1),4+,Unemployed,"₹20,001–₹50,000",Irregular but manageable,"₹50,001–₹1,00,000","EMIs & Loan Repayments|Entertainment & Dining Out|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),"Celebrations or festivals|Convenience (food delivery, cabs, etc.)",None,Monthly,"Retirement Planning|Save for Major Purchase (Home, Car)|Save for Vacation",Above 30%,High Cost of Living|High EMIs or Debt,2 – Slightly confident,4 – Often,"Yes, loosely","No, never used one",2 – Low,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts|Subscription & Money Leak Detection,₹100–₹199,Definitely Yes,Middle-Income Family Provider
R0065,18–24,"Married, no children",Metro (Tier 1),1,Student,"Below ₹20,000",Mostly stable with some variation,"₹10,001–₹25,000","Education|Shopping & Fashion|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)|Emotional stress or boredom",1–2,Rarely,Invest & Grow Wealth,Above 30%,High Cost of Living|No Budgeting Discipline,3 – Moderately confident,4 – Often,"No, but I want to","No, never used one",3 – Average,Somewhat uncomfortable,Automatic Expense Tracking & Smart Categorization,₹0 (Free only),Maybe,College Student / Early Career
R0066,35–44,"Married, with children",Tier 3,4+,Self-employed,"₹20,001–₹50,000",Irregular but manageable,"₹50,001–₹1,00,000",Education|Groceries & Food|Transportation,Sometimes (3–5 times/month),"Convenience (food delivery, cabs, etc.)",1–2,Rarely,"Build Emergency Fund|Pay Off Debt|Save for Major Purchase (Home, Car)",21–30%,No Budgeting Discipline|Unexpected Expenses,4 – Very confident,2 – Rarely,"Yes, loosely","No, never used one",5 – Very High,Neutral,AI Savings Recommendations & Goal Engine,₹200–₹499,Probably No,Small Town Conservative Saver
R0067,25–34,"Single, no dependents",Metro (Tier 1),0,Salaried (Private),"₹1,00,001–₹2,00,000",Highly unpredictable,"₹25,001–₹50,000",EMIs & Loan Repayments,Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social media influence",None,Quarterly,Build Emergency Fund|No Specific Goal|Save for Vacation,21–30%,High EMIs or Debt|Low or Irregular Income,3 – Moderately confident,2 – Rarely,"No, but I want to","No, never used one",2 – Low,Neutral,Automatic Expense Tracking & Smart Categorization,₹49–₹99,Probably Yes,Young Urban Professional
R0068,18–24,"Married, with children",Metro (Tier 1),3,Freelancer or Gig Worker,"Below ₹20,000",Highly unpredictable,"₹25,001–₹50,000",EMIs & Loan Repayments|Education|Entertainment & Dining Out,Never,I rarely spend impulsively,6+,Monthly,Invest & Grow Wealth,21–30%,Unexpected Expenses,4 – Very confident,5 – Almost always,"No, but I want to","No, never used one",4 – High,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Maybe,Gig Worker / Irregular Income
R0069,25–34,"Married, no children",Metro (Tier 1),0,Self-employed,"₹50,001–₹1,00,000",Very stable (fixed salary),"₹10,001–₹25,000","EMIs & Loan Repayments|Groceries & Food|Subscriptions (OTT, Gym, etc.)",Rarely (1–2 times/month),"Convenience (food delivery, cabs, etc.)",6+,Monthly,"Build Emergency Fund|Invest & Grow Wealth|Save for Major Purchase (Home, Car)",1–10%,High Cost of Living|Unexpected Expenses,3 – Moderately confident,2 – Rarely,"Yes, strictly",Used before but stopped,5 – Very High,Somewhat comfortable,AI Savings Recommendations & Goal Engine|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Probably Yes,Young Urban Professional
R0070,18–24,"Single, no dependents",Rural,0,Freelancer or Gig Worker,"₹50,001–₹1,00,000",Mostly stable with some variation,"₹10,001–₹25,000","Groceries & Food|Rent & Housing|Subscriptions (OTT, Gym, etc.)",Sometimes (3–5 times/month),"Flash sales, discounts & offers|Social pressure or peer influence",3–5,Quarterly,Invest & Grow Wealth|Save for Vacation,21–30%,Lack of Financial Knowledge|Low or Irregular Income,2 – Slightly confident,1 – Never,"Yes, strictly",Used before but stopped,5 – Very High,Somewhat comfortable,Automatic Expense Tracking & Smart Categorization|Financial Health Score with Peer Benchmarking,₹200–₹499,Probably Yes,Aspiring Digital-First Millennial
R0071,25–34,"Single, no dependents",Metro (Tier 1),0,Salaried (Private),"₹20,001–₹50,000",Mostly stable with some variation,"₹10,001–₹25,000",Groceries & Food|Transportation,Rarely (1–2 times/month),"Celebrations or festivals|Convenience (food delivery, cabs, etc.)",None,Monthly,Build Emergency Fund|Retirement Planning,Above 30%,Low or Irregular Income|Unexpected Expenses,1 – Not confident at all,4 – Often,"Yes, loosely","No, never used one",2 – Low,Very uncomfortable,AI Savings Recommendations & Goal Engine|Automatic Expense Tracking & Smart Categorization|Predictive Budget Alerts & Spending Forecasts,₹49–₹99,Probably No,Gig Worker / Irregular Income
